timestamp,switch_id,packet_in_count,packet_in_rate,flow_mod_count,flow_removed_count,flow_table_size,unique_src_ip,unique_dst_ip,tcp_syn_count,udp_packet_count,arp_packet_count,icmp_packet_count,avg_flow_duration,short_flow_ratio,packet_in_variance,burst_score,packet_in_to_flow_mod_ratio,flow_table_utilization_ratio,flow_entry_growth_rate,src_ip_entropy,dst_ip_entropy,label
2026-02-22 08:26:04.096182,4,38,26.852598759698814,40,19,1079,116,49,44,30,19,12,19.15006663204677,0.2154750323709311,132.92861002779063,2.956873650731637,0.926829268292683,0.5395,1.761444122382728,1.9744386013670092,2.6910433947349413,0
2026-02-22 08:26:06.096182,5,56,106.79939333361105,37,22,603,247,85,53,28,14,8,10.762565191558206,0.5276001944452965,142.37322793701247,1.241365883633562,1.4736842105263157,0.3015,4.182411624896838,2.9644208999562487,2.3885090389697177,0
2026-02-22 08:26:08.096182,3,50,99.25871600335685,32,20,618,55,282,52,39,12,13,28.169089564962647,0.4780926691454167,104.84410149113444,2.56285131972775,1.5151515151515151,0.309,1.787048061463007,1.6129470634964802,3.6958776621452265,0
2026-02-22 08:26:10.096182,5,46,77.4642070621839,45,28,984,33,177,33,31,8,4,37.10657373790314,0.30389186803522905,31.0277222543828,2.770108910433435,1.0,0.492,2.301782070600246,2.206801875046108,2.6670460110782033,0
2026-02-22 08:26:12.096182,5,51,28.366341005118315,38,19,1329,184,180,30,37,12,12,39.53433743579605,0.42082541345972657,105.61981969749276,1.4393636240448302,1.3076923076923077,0.6645,0.8318073439241642,3.6891667715298753,2.3019035290008616,0
2026-02-22 08:26:14.096182,2,51,47.331235865371966,25,17,400,200,130,56,25,12,5,32.89023404522215,0.5046043610761123,177.0543966879656,0.5260451697070665,1.9615384615384615,0.2,-0.32448673235306225,3.433075380125129,3.9657692167143765,0
2026-02-22 08:26:16.096182,3,56,49.77198480585169,27,17,715,212,57,35,49,17,7,18.60544747306543,0.10837295007756201,72.46512781500658,1.310793259132225,2.0,0.3575,3.4082920336771547,3.4630939759548527,2.080363805640583,0
2026-02-22 08:26:18.096182,3,41,76.0743196015417,34,19,1263,218,231,39,32,20,7,24.695558457991666,0.23540723332004285,178.3696550805358,2.652954653499706,1.1714285714285715,0.6315,0.4941956445020592,1.5785102732974063,2.5009701087203107,0
2026-02-22 08:26:20.096182,3,47,45.80438940367155,36,21,1454,265,156,42,44,11,11,5.444534378676269,0.5852861688753018,143.54018123973492,2.6733096167351365,1.2702702702702702,0.727,3.917715165063253,2.62667408112246,3.258244153325545,0
2026-02-22 08:26:22.096182,5,54,27.295986391295486,30,21,1194,33,177,37,36,11,7,17.459961498528635,0.30312494993814887,190.21746319913984,2.796542753074664,1.7419354838709677,0.597,4.031258074870888,3.6230881565343434,2.3279034419856406,0
